YEAR,MONTH,DAY,TEMPERATURE_AVG,RADIATION
2010,04,05,7.6,12380
2010,04,06,10.6,17862
2010,04,07,11.2,12469
2010,04,08,9.4,13592
2010,04,09,9.1,17003
2010,04,10,8.4,13562
2010,04,11,6.9,14476
2010,04,12,8.5,15458
2010,04,13,10.3,16139
2010,04,14,8.6,14574
2010,04,15,9.6,18914
2010,04,16,7.6,13023
2010,04,17,8.2,21360
2010,04,18,9.3,21408
2010,04,19,9.4,18665
2010,04,20,8.8,18736
2010,04,21,7.8,15603
2010,04,22,6.1,19953
2010,04,23,8.4,20541
2010,04,24,11.7,22525
2010,04,25,13.5,18276
2010,04,26,11.1,12452
2010,04,27,11.7,20839
2010,04,28,14.7,20837
2010,04,29,18.4,17513
2010,04,30,12.9,14725
2010,05,01,10.9,13262
2010,05,02,11.1,8958
2010,05,03,7.1,10394
2010,05,04,8,12641
2010,05,05,8,14388
2010,05,06,9.3,16556
2010,05,07,8.8,13488
2010,05,08,8.2,12185
2010,05,09,10,12610
2010,05,10,9.4,16164
2010,05,11,8.1,11982
2010,05,12,7.3,12055
2010,05,13,8.8,13740
2010,05,14,8.2,21867
2010,05,15,9.3,21704
2010,05,16,12.5,18253
2010,05,17,13.2,19115
2010,05,18,10.3,22918
2010,05,19,10.4,26102
2010,05,20,12.5,24110
2010,05,21,14.6,24326
2010,05,22,13.7,21567
2010,05,23,16.9,26920
2010,05,24,18.5,23842
2010,05,25,16.8,22566
2010,05,26,10.8,11247
2010,05,27,12.6,14298
2010,05,28,12.6,23660
2010,05,29,14.2,19034
2010,05,30,15.4,14982
2010,05,31,11.6,8895
2010,06,01,11.9,11927
2010,06,02,14.2,22739
2010,06,03,15.7,27597
2010,06,04,18.2,25924
2010,06,05,19.4,26560
2010,06,06,18.4,16362
2010,06,07,16.1,17774
2010,06,08,17.7,17241
2010,06,09,16.9,12727
2010,06,10,17.1,9371
2010,06,11,16.9,9577
2010,06,12,14.8,19057
2010,06,13,13,17332
2010,06,14,16.2,16440
2010,06,15,15.1,19292
2010,06,16,14.9,24781
2010,06,17,17.4,20996
2010,06,18,14.6,14198
2010,06,19,13.1,13916
2010,06,20,12.1,14107
2010,06,21,13.9,17628
2010,06,22,15.2,28519
2010,06,23,18.1,25885
2010,06,24,18.5,25565
2010,06,25,18.7,24334
2010,06,26,20.7,23443
2010,06,27,21.9,25390
2010,06,28,21.4,25815
2010,06,29,19.6,24027
2010,06,30,20.9,24165
2010,07,01,21.7,25628
2010,07,02,25,24759
2010,07,03,20.1,14374
2010,07,04,18.8,26164
2010,07,05,18.7,16779
2010,07,06,17.3,22055
2010,07,07,19.1,26226
2010,07,08,21.7,26333
2010,07,09,24.3,21129
2010,07,10,22.4,17873
2010,07,11,22.6,21953
2010,07,12,21.2,18554
2010,07,13,20.5,20145
2010,07,14,21.1,17638
2010,07,15,19.1,20051
2010,07,16,19.3,13710
2010,07,17,17.6,19843
2010,07,18,17,26654
2010,07,19,19.8,26493
2010,07,20,23,21448
2010,07,21,21.1,15642
2010,07,22,18.2,19031
2010,07,23,17.3,15616
2010,07,24,17.1,20780
2010,07,25,17.4,13904
2010,07,26,19.1,12649
2010,07,27,19.3,13751
2010,07,28,20.2,16753
2010,07,29,17.8,12276
2010,07,30,18.7,20845
2010,07,31,20.1,12595
2010,08,01,18.2,15808
2010,08,02,18.6,13402
2010,08,03,17.2,20454
2010,08,04,18.1,14154
2010,08,05,16.5,16559
2010,08,06,18.4,18531
2010,08,07,20.2,11471
2010,08,08,17.8,15703
2010,08,09,17.4,20112
2010,08,10,17.3,15028
2010,08,11,19.3,15737
2010,08,12,16.8,15114
2010,08,13,15.4,16386
2010,08,14,15.3,18786
2010,08,15,17.4,6615
2010,08,16,15.8,6255
2010,08,17,15.8,9988
2010,08,18,17.8,11678
2010,08,19,17.6,15920
2010,08,20,21.1,21423
2010,08,21,21.5,14108
2010,08,22,20.2,11099
2010,08,23,20.2,9908
2010,08,24,16.1,17848
2010,08,25,15.8,11069
2010,08,26,19.3,10531
2010,08,27,17.1,6837
2010,08,28,14.2,14598
2010,08,29,15.1,11193
2010,08,30,15.2,13866
2010,08,31,14.2,14410
2010,09,01,13.9,16189
2010,09,02,14.6,15127
2010,09,03,14.4,15298
2010,09,04,14.9,15467
2010,09,05,15.6,15482
2010,09,06,15.6,13487
2010,09,07,17.7,12328
2010,09,08,15.2,5699
2010,09,09,17.4,12200
2010,09,10,16.5,8650
2010,09,11,18.1,13697
2010,09,12,16.7,11020
2010,09,13,15.4,12417
2010,09,14,16.9,5254
2010,09,15,14.7,11951
2010,09,16,14.4,10220
2010,09,17,12.5,10790
2010,09,18,12.4,11964
2010,09,19,13.9,9706
2010,09,20,15.4,11036
2010,09,21,15.8,11966
2010,09,22,16,15022
2010,09,23,16.4,8225
2010,09,24,15,8855
2010,09,25,12,7838
2010,09,26,12.6,7871
2010,09,27,10.5,8018
2010,09,28,13.5,5116
2010,09,29,15.1,5264
2010,09,30,15.1,7523
2010,10,01,13.2,9022
2010,10,02,15.7,5169
2010,10,03,18.8,9074
2010,10,04,18.5,9392
2010,10,05,16.3,6714
2010,10,06,16.3,4407
2010,10,07,13.2,7001
2010,10,08,16.1,9684
2010,10,09,15.6,10649
2010,10,10,14.4,11317
2010,10,11,12,10431
2010,10,12,11,8747
2010,10,13,9.8,5514
2010,10,14,10,5139
