,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
75%,0.069,0.083,0.0965,0.14700000000000002,0.1905,0.2485,0.5015000000000001,0.7204999999999999,1.115,1.1385,1.1655,1.193,1.2944999999999998,1.3805,1.4975,2.003,2.441,3.2305,0.07350000000000001,0.08249999999999999,0.091,0.11800000000000001,0.1375,0.16,0.2415,0.2995,0.387,0.004,0.006,0.006999999999999999,0.01,0.012,0.013999999999999999,0.017,0.019,0.021,strahler2
95%,0.087,0.10310000000000001,0.12,0.1772,0.22360000000000002,0.2829,0.536,0.7686999999999999,1.213,1.1740000000000002,1.2061,1.239,1.3545,1.448,1.5649000000000002,2.0711,2.5375,3.4251,0.092,0.10300000000000001,0.113,0.14509999999999998,0.16810000000000003,0.19409999999999997,0.2824,0.3388,0.417,0.005100000000000001,0.006100000000000001,0.008100000000000001,0.012200000000000003,0.014300000000000004,0.017300000000000006,0.02250000000000001,0.02460000000000001,0.027700000000000013,strahler2
99%,0.09753999999999996,0.11515999999999996,0.13239999999999996,0.19387999999999994,0.24449999999999994,0.30835999999999997,0.5853199999999998,0.8196599999999998,1.25272,1.1957,1.23056,1.2644199999999999,1.38814,1.4886199999999998,1.6160999999999999,2.1706399999999997,2.6396999999999995,3.5048199999999996,0.09323999999999999,0.10424,0.11485999999999999,0.14786,0.17148,0.1981,0.29096,0.3522,0.44182,0.007239999999999996,0.008239999999999996,0.010239999999999996,0.015239999999999997,0.017619999999999997,0.02062,0.02762,0.030619999999999998,0.03462,strahler2
max,0.10400000000000001,0.122,0.14,0.203,0.254,0.319,0.599,0.836,1.255,1.209,1.245,1.28,1.406,1.508,1.6369999999999998,2.198,2.6719999999999997,3.509,0.094,0.105,0.11599999999999999,0.149,0.17300000000000001,0.2,0.294,0.35600000000000004,0.446,0.008,0.009000000000000001,0.011000000000000001,0.016,0.018000000000000002,0.021,0.027999999999999997,0.031,0.035,strahler2
count,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,strahler3
mean,0.058478260869565216,0.07008695652173912,0.08156521739130435,0.1255217391304348,0.16356521739130434,0.21391304347826087,0.4614347826086956,0.7025652173913043,1.188086956521739,2.0584782608695646,2.07008695652174,2.0815652173913044,2.1255217391304346,2.1635652173913043,2.2139130434782612,2.461434782608696,2.7025652173913044,3.1880869565217407,0.09404347826086958,0.10556521739130437,0.11643478260869566,0.15247826086956517,0.1791304347826087,0.21039130434782607,0.3244782608695652,0.40447826086956523,0.5252608695652173,0.002043478260869566,0.0030000000000000014,0.003521739130434784,0.005521739130434785,0.00639130434782609,0.007652173913043481,0.010000000000000004,0.011086956521739135,0.012521739130434788,strahler3
std,0.0120335499380138,0.014100009811338498,0.016300658344085152,0.023980805895202923,0.030498623049330247,0.03866160068580882,0.077154406041013,0.11260866513040013,0.18248833413361434,0.012033549938013716,0.014100009811338514,0.016300658344085128,0.023980805895202916,0.030498623049330226,0.038661600685808865,0.07715440604101301,0.11260866513040009,0.1824883341336143,0.024378601385920337,0.02732269467436868,0.030274240605980104,0.03995664646636333,0.0472962658028441,0.05622417720844654,0.09285417186751264,0.12395228904894945,0.1814793294994588,0.0007057079533454469,0.0008528028654224419,0.0012011193725169757,0.00183078634912064,0.0021687686165778415,0.0026043441968472943,0.0035032452487268537,0.0038365828010004954,0.004357538558921782,strahler3
min,0.034,0.040999999999999995,0.047,0.073,0.096,0.126,0.267,0.392,0.631,2.0340000000000003,2.041,2.0469999999999997,2.073,2.096,2.126,2.267,2.392,2.6310000000000002,0.053,0.06,0.067,0.092,0.11199999999999999,0.136,0.222,0.28,0.37,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.002,0.002,strahler3
1%,0.03466,0.041659999999999996,0.04788,0.0741,0.09688000000000001,0.12688,0.27008000000000004,0.40432,0.67588,2.03466,2.04166,2.0478799999999997,2.0741,2.09688,2.12688,2.27008,2.4043200000000002,2.6758800000000003,0.0552,0.062200000000000005,0.06942000000000001,0.09398000000000001,0.11331999999999999,0.13666,0.22222,0.28088,0.37022,0.00022,0.00044,0.00044,0.00144,0.00144,0.00166,0.0018800000000000002,0.00266,0.00288,strahler3
5%,0.03710000000000001,0.04420000000000001,0.0513,0.0787,0.1013,0.1322,0.28950000000000004,0.46329999999999993,0.8516,2.0370999999999997,2.0442,2.0513,2.0787000000000004,2.1013,2.1322,2.2895,2.4633000000000003,2.8516000000000004,0.0632,0.0703,0.0782,0.10139999999999999,0.11850000000000002,0.1395,0.2238,0.28419999999999995,0.371,0.001,0.002,0.002,0.003,0.003,0.004,0.005,0.0051,0.006,strahler3
25%,0.054,0.065,0.076,0.1175,0.1535,0.201,0.428,0.6359999999999999,1.0755,2.0540000000000003,2.065,2.076,2.1175,2.1535,2.201,2.428,2.636,3.0755,0.07650000000000001,0.08650000000000001,0.096,0.1285,0.1545,0.1845,0.292,0.354,0.46699999999999997,0.002,0.003,0.003,0.005,0.006,0.006999999999999999,0.009000000000000001,0.01,0.011000000000000001,strahler3
50%,0.06,0.07200000000000001,0.084,0.13,0.17,0.221,0.49,0.75,1.281,2.06,2.072,2.084,2.13,2.17,2.221,2.49,2.75,3.281,0.098,0.11,0.121,0.158,0.184,0.215,0.325,0.40299999999999997,0.518,0.002,0.003,0.004,0.005,0.006,0.006999999999999999,0.009000000000000001,0.01,0.012,strahler3
75%,0.0625,0.075,0.087,0.136,0.17700000000000002,0.23299999999999998,0.507,0.7729999999999999,1.303,2.0625,2.075,2.0869999999999997,2.136,2.177,2.2329999999999997,2.507,2.7729999999999997,3.303,0.10250000000000001,0.11449999999999999,0.1265,0.16499999999999998,0.193,0.22599999999999998,0.345,0.42200000000000004,0.539,0.002,0.003,0.004,0.006,0.0075,0.009000000000000001,0.012,0.0135,0.0155,strahler3
95%,0.07619999999999999,0.09009999999999997,0.10479999999999998,0.15769999999999998,0.20279999999999998,0.261,0.5418000000000001,0.8094,1.3366,2.0762,2.0900999999999996,2.1048,2.1577,2.2028,2.261,2.5418,2.8094,3.3366,0.10869999999999999,0.12260000000000001,0.1346,0.1773,0.20819999999999997,0.2449,0.37199999999999994,0.4501,0.5657999999999999,0.003,0.004,0.005,0.008,0.009899999999999999,0.011899999999999999,0.014899999999999998,0.0169,0.018000000000000002,strahler3
99%,0.08480000000000001,0.10036000000000002,0.11614000000000002,0.17304,0.22116000000000002,0.2822800000000001,0.5607200000000001,0.8115600000000001,1.34012,2.0847999999999995,2.1003600000000002,2.11614,2.1730400000000003,2.2211600000000002,2.28228,2.56072,2.8115599999999996,3.3401199999999998,0.16126000000000007,0.1815000000000001,0.2013000000000001,0.2677000000000001,0.31820000000000015,0.3793800000000002,0.6228200000000004,0.8131400000000006,1.1381800000000009,0.003,0.004,0.005,0.008780000000000003,0.01,0.012780000000000001,0.016560000000000002,0.01856,0.021120000000000007,strahler3
max,0.087,0.10300000000000001,0.11900000000000001,0.177,0.226,0.28800000000000003,0.5660000000000001,0.812,1.341,2.0869999999999997,2.103,2.119,2.177,2.226,2.2880000000000003,2.5660000000000003,2.812,3.341,0.17600000000000002,0.198,0.22,0.293,0.349,0.41700000000000004,0.693,0.915,1.2990000000000002,0.003,0.004,0.005,0.009000000000000001,0.01,0.013000000000000001,0.017,0.019,0.022000000000000002,strahler3
