reach,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_avg,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_avg,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,flow_min,flow_q1,flow_q5,flow_q25,flow_q50,flow_avg,flow_q75,flow_q95,flow_q99,flow_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_avg,rtime_q75,rtime_q95,rtime_q99,rtime_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_avg,velocity_q75,velocity_q95,velocity_q99,velocity_max
127.000,0.020,0.024,0.028,0.043,0.056,0.066,0.072,0.151,0.223,0.359,0.540,0.548,0.556,0.586,0.611,0.632,0.645,0.802,0.947,1.218,41.066,55.434,71.677,145.988,225.728,362.925,351.782,1238.830,2476.653,5996.162,0.005,0.007,0.008,0.012,0.014,0.014,0.016,0.021,0.023,0.025,0.046,0.051,0.056,0.073,0.085,0.090,0.099,0.146,0.178,0.226
128.000,0.019,0.023,0.027,0.042,0.054,0.064,0.070,0.147,0.218,0.351,0.539,0.547,0.554,0.583,0.608,0.628,0.641,0.795,0.935,1.202,47.718,64.249,83.129,169.325,261.786,420.908,407.819,1438.111,2867.677,6951.462,0.004,0.005,0.007,0.010,0.011,0.012,0.013,0.017,0.019,0.021,0.055,0.061,0.067,0.087,0.102,0.107,0.118,0.175,0.213,0.271
129.000,0.021,0.025,0.029,0.045,0.058,0.069,0.076,0.158,0.234,0.375,0.542,0.550,0.559,0.590,0.617,0.638,0.652,0.817,0.967,1.250,47.934,64.580,83.464,170.047,262.912,422.718,409.678,1442.776,2885.339,6980.081,0.005,0.006,0.007,0.011,0.012,0.013,0.014,0.019,0.020,0.023,0.051,0.057,0.063,0.081,0.094,0.099,0.109,0.161,0.196,0.247
13.000,0.019,0.023,0.027,0.042,0.054,0.065,0.071,0.152,0.232,0.400,0.538,0.546,0.554,0.583,0.608,0.630,0.641,0.804,0.963,1.299,13.788,19.050,24.649,50.246,77.698,124.905,121.007,426.532,854.662,2068.388,0.017,0.020,0.023,0.033,0.039,0.039,0.045,0.058,0.063,0.072,0.016,0.018,0.020,0.026,0.030,0.032,0.035,0.050,0.059,0.067
130.000,0.023,0.027,0.031,0.048,0.063,0.074,0.082,0.170,0.251,0.403,0.545,0.554,0.563,0.596,0.625,0.648,0.663,0.840,1.003,1.306,50.231,67.661,87.360,177.998,275.246,442.542,428.898,1510.986,3023.318,7304.549,0.005,0.006,0.008,0.011,0.013,0.013,0.015,0.019,0.021,0.023,0.050,0.055,0.061,0.078,0.091,0.096,0.105,0.154,0.186,0.233
131.000,0.040,0.048,0.056,0.085,0.109,0.127,0.141,0.281,0.401,0.617,0.580,0.596,0.611,0.670,0.718,0.754,0.782,1.062,1.303,1.733,61.475,82.489,106.702,217.348,336.025,540.191,523.510,1844.094,3680.518,8911.525,0.008,0.010,0.012,0.017,0.020,0.020,0.023,0.029,0.032,0.035,0.033,0.037,0.040,0.051,0.059,0.062,0.067,0.098,0.118,0.151
132.000,0.032,0.039,0.045,0.069,0.089,0.105,0.116,0.237,0.344,0.540,0.565,0.577,0.590,0.638,0.679,0.710,0.732,0.975,1.188,1.580,72.970,97.784,126.410,257.660,398.231,640.174,620.538,2185.879,4359.545,10558.601,0.005,0.007,0.008,0.012,0.013,0.013,0.015,0.019,0.021,0.024,0.049,0.055,0.060,0.076,0.088,0.092,0.101,0.145,0.175,0.218
133.000,0.035,0.041,0.048,0.074,0.096,0.112,0.124,0.252,0.365,0.572,0.570,0.583,0.597,0.648,0.691,0.724,0.748,1.005,1.231,1.643,73.252,98.160,126.909,258.439,399.703,642.425,622.550,2192.240,4380.485,10593.216,0.006,0.007,0.009,0.012,0.014,0.014,0.016,0.021,0.023,0.025,0.046,0.051,0.056,0.071,0.082,0.085,0.094,0.134,0.161,0.201
134.000,0.036,0.043,0.050,0.077,0.099,0.117,0.129,0.264,0.383,0.602,0.572,0.586,0.600,0.653,0.699,0.733,0.758,1.028,1.266,1.704,86.395,115.508,149.412,304.317,470.438,756.370,733.030,2582.784,5150.515,12469.671,0.005,0.007,0.008,0.011,0.013,0.013,0.015,0.018,0.020,0.022,0.052,0.058,0.063,0.080,0.092,0.096,0.105,0.149,0.177,0.219
135.000,0.065,0.077,0.090,0.135,0.172,0.197,0.219,0.421,0.588,0.876,0.630,0.654,0.679,0.769,0.844,0.894,0.939,1.343,1.675,2.251,87.020,116.624,150.464,306.641,474.141,762.015,738.446,2603.133,5201.889,12555.223,0.010,0.012,0.015,0.021,0.024,0.025,0.028,0.035,0.038,0.042,0.028,0.030,0.033,0.042,0.048,0.050,0.054,0.078,0.095,0.121
